station_id,lga_code
010073,57350
012071,57420
009021,57490
007045,57630
009021,57700
006011,57770
009021,57840
009021,57910
009021,57980
009053,58050
010073,58190
008025,58260
010111,58330
010073,58400
006011,58470
009021,58510
008138,58540
009021,58570
010614,58610
010614,58680
009053,58760
009534,58820
010614,58890
010073,59030
010614,59100
010614,59170
007045,59250
008138,59310
010614,59320
010073,59330
002012,59340
008095,59350
010073,59360
010111,59370
092045,60210
094029,60410
096003,60610
096003,60810
096003,61010
096003,61210
094029,61410
096003,61510
096003,61610
092045,61810
092045,62010
092045,62210
094029,62410
094029,62610
094029,62810
094010,63010
096003,63210
090015,63410
094029,63610
096003,63810
092045,64010
096003,64210
096003,64610
094029,64810
094029,65010
094029,65210
096003,65410
096003,65610
096003,65810
015590,70200
037010,70420
014015,70540
015590,70620
014015,70700
014015,71000
014626,71300
014626,72200
014015,72300
015590,72330
014015,72800
014626,73600
014015,74050
014626,74550
014015,74560
014015,74660
014015,74680
014015,79399
069018,89399
002012,99399
