SA2_CODE,BORN_OVERSEAS,PERC_BORN_OVERSEAS,AMERICAS,AUSTRALIA,NORTH_AFRICA_AND_THE_MIDDLE_EAST,NORTH_EAST_ASIA,NORTH_WEST_EUROPE,OCEANIA_AND_ANTARCTICA,SOUTH_EAST_ASIA,SOUTHERN_AND_CENTRAL_ASIA,SOUTHERN_AND_EASTERN_EUROPE,SUB_SAHARAN_AFRICA,PERC_BORN_AMERCIAS,PERC_BORN_NA_ME,PERC_BORN_NE_ASIA,PERC_BORN_NW_EUROPE,PERC_BORN_OCA,PERC_BORN_SE_ASIA,PERC_BORN_SC_ASIA,PERC_BORN_SE_EUROPE,PERC_BORN_SS_AFRICA
127011596,4902,0.4444242973708069,355,6128,1050,137,156,994,1067,338,652,153,0.03218495013599275,0.09519492293744333,0.01242067089755213,0.01414324569356301,0.0901178603807797,0.09673617407071623,0.030643699002719856,0.059111514052583865,0.01387126019945603
127011597,5702,0.3971028623163173,393,8657,1582,142,189,906,1110,347,893,140,0.02736959398286789,0.11017480325927989,0.009889268054878473,0.013162476495577686,0.0630963158994359,0.0773034333867261,0.02416602827494951,0.062190960373285045,0.009749982589316804
127021509,8358,0.5474911568190751,377,6908,1437,295,140,559,4366,140,975,69,0.024695401545919034,0.0941307480676012,0.019323987947071925,0.009170706144373117,0.03661731953360409,0.28599502161666446,0.009170706144373117,0.06386741779116992,0.004519848028298179
127021510,8787,0.48630250705628425,717,9282,3746,178,316,416,1565,115,1666,68,0.039681221982400795,0.20731639825114836,0.009851126238308706,0.017488516243289613,0.02302285682660911,0.08661243012895013,0.006364491670817422,0.09220211411810283,0.003763351596657258
127021511,15531,0.6679712700529009,234,7720,476,1238,232,651,11530,166,861,143,0.010064083265235904,0.020472237753214915,0.05324502171949594,0.009978065459550127,0.0279987957507204,0.49589264977850417,0.007139477871919487,0.037030665347726976,0.006150273106533053
127021512,8047,0.5009649505073772,227,8016,783,255,253,712,4541,75,1148,53,0.014131855817717736,0.048745564340409636,0.01587499221814107,0.01575048247525369,0.044325468467907615,0.2826993712257984,0.004669115358276786,0.07146859241735666,0.0032995081865155947
127021513,11905,0.603824305132887,325,7811,910,728,214,620,8197,119,689,103,0.016484073848650842,0.04615540677622236,0.036924325420977885,0.010854128626496247,0.031446540880503145,0.41575370257658756,0.006035707039967539,0.03494623655913978,0.005224183404341652
127021514,4825,0.5148314127187367,269,4547,1699,85,105,253,1553,54,782,25,0.028702518139137857,0.181284677763551,0.009069568928723858,0.01120358514724712,0.02699530516431925,0.1657063593683312,0.005761843790012804,0.08344003414425949,0.002667520273154076
127021515,11530,0.6903364866483056,539,5172,5612,574,160,582,2616,363,978,106,0.03227158424140821,0.33600766375284397,0.03436714165968147,0.009579691054963478,0.03484612621242965,0.15662794874865285,0.02173392408094839,0.058555861573464256,0.006346545323913304
127021516,10611,0.5901557285873192,537,7369,4469,354,266,461,3235,122,1119,48,0.029866518353726362,0.2485539488320356,0.01968854282536151,0.014794215795328143,0.02563959955506118,0.17992213570634039,0.0067853170189099,0.062235817575083424,0.0026696329254727474
127021517,4430,0.5580047864970399,313,3509,1825,112,93,184,1246,52,598,7,0.03942562035520846,0.22987781836503338,0.014107570222949993,0.011714321702985262,0.023176722509132133,0.15694671873031868,0.006549943317798211,0.07532434815467944,8.817231389343746e-4
127021518,1148,0.2921863069483329,47,2781,203,54,87,49,102,23,580,3,0.01196233138203105,0.051667090862814964,0.01374395520488674,0.022143038941206415,0.012471366759989819,0.025960804275897174,0.005853906846525834,0.14762025960804276,7.635530669381522e-4
127021519,8623,0.5102064966570026,732,8278,3483,203,347,500,1575,178,1535,70,0.04331104668362819,0.2060824803266079,0.01201112360215372,0.020531329507129756,0.029584048281166796,0.0931897520856754,0.01053192118809538,0.09082302822318206,0.0041417667593633516
127021520,6005,0.5815980629539952,292,4320,1305,244,102,250,2658,40,1081,33,0.02828087167070218,0.12639225181598063,0.023631961259079903,0.009878934624697336,0.024213075060532687,0.25743341404358355,0.00387409200968523,0.10469733656174335,0.0031961259079903146
127021521,14,0.6086956521739131,0,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0.6086956521739131,0,0,0
127031522,6475,0.44784894176234613,329,7983,1507,302,312,931,891,698,1228,277,0.022755567851708396,0.10423295061557615,0.02088808963895421,0.021579748236270575,0.06439341541015355,0.06162678102088809,0.048277770092682255,0.08493567575044958,0.019158943145663302
127031523,5962,0.33409918744746425,237,11883,945,444,464,680,1263,515,1202,212,0.01328103110114878,0.052956010086859066,0.024880919024936957,0.02600168114317736,0.038105912020173716,0.07077612776688148,0.02885962454469039,0.06735780330624824,0.011880078453348276
127031524,6099,0.30838853213328615,268,13678,716,451,647,709,1056,1408,605,239,0.013551094705971583,0.036203670930879304,0.022804267583556657,0.03271476968195378,0.03584972442736512,0.053395358244425345,0.07119381099256712,0.030591090660868688,0.012084744905698538
127031598,15067,0.6407127062425583,515,8449,4468,584,432,1332,1722,2543,3008,463,0.021899982990304472,0.18999829903044735,0.02483415546861711,0.018370471168566084,0.056642286103078754,0.07322673924136758,0.10813913930940636,0.12791291035890456,0.019688722571865963
127031599,4646,0.4433629163088081,222,5833,1797,95,226,624,696,249,673,64,0.02118522759805325,0.17148582880045807,0.009065750548716481,0.021566943410630784,0.05954766676209562,0.06641855138849127,0.023761809332951616,0.06422368546617044,0.006107453001240577
127031600,7638,0.4576941514860978,422,9050,1214,229,242,1638,1347,1302,916,328,0.025287631831255993,0.07274688398849473,0.013722435282837968,0.01450143815915628,0.09815436241610738,0.08071668264621285,0.07802013422818792,0.05488974113135187,0.019654841802492808
127031601,2943,0.6013485901103391,88,1951,508,197,85,318,596,559,474,118,0.01798120147118921,0.10380057212913772,0.04025337147527585,0.01736820596648958,0.06497752349816101,0.12178177360032694,0.11422149570903146,0.09685328974254188,0.024111156518185534
128011529,2819,0.16747861216730037,204,14013,112,272,1161,274,213,72,385,126,0.01211977186311787,0.006653992395437262,0.016159695817490494,0.06897576045627377,0.01627851711026616,0.012654467680608366,0.0042775665399239545,0.02287309885931559,0.00748574144486692
128011530,4356,0.2527708466314629,301,12877,222,645,988,476,531,305,744,144,0.017466488713514767,0.012882260778738467,0.03742819010038879,0.05733186328555678,0.027621424012069865,0.030812975105901468,0.017698601520338884,0.04317298206928567,0.008356061045668195
128011531,3868,0.256057195816232,203,11238,402,853,666,292,319,102,942,89,0.013438368860055607,0.026611942274592876,0.05646762875678538,0.044088441678803124,0.01933006752283861,0.021117436780087383,0.006752283860717596,0.062359327419568386,0.005891698662783
128011602,2322,0.21063134978229317,150,8702,97,290,649,291,277,151,318,99,0.013606676342525399,0.008798984034833092,0.026306240928882438,0.05887155297532656,0.026396952104499275,0.02512699564586357,0.013697387518142236,0.028846153846153848,0.008980406386066763
128011603,1659,0.14301724137931035,119,9941,80,118,703,153,112,38,269,67,0.010258620689655173,0.006896551724137931,0.010172413793103447,0.06060344827586207,0.013189655172413793,0.009655172413793104,0.0032758620689655174,0.02318965517241379,0.005775862068965517
128011604,3898,0.17928433446785025,432,17844,126,160,1567,500,292,72,563,186,0.019869377242204028,0.005795235028976175,0.0073590286082237145,0.072072486431791,0.022996964400699108,0.01343022721000828,0.0033115628737006714,0.025894581915187197,0.008554870757060068
128011605,360,0.11908699966920278,18,2663,37,18,161,35,22,3,60,6,0.005954349983460139,0.01223949718822362,0.005954349983460139,0.053258352629837906,0.011577902745616937,0.007277538868673503,9.923916639100231e-4,0.01984783327820046,0.0019847833278200462
128011606,1095,0.1485753052917232,78,6275,23,57,452,120,106,21,208,30,0.010583446404341926,0.0031207598371777476,0.007734056987788331,0.061329715061058346,0.016282225237449117,0.014382632293080054,0.002849389416553596,0.028222523744911805,0.004070556309362279
128021533,702,0.11164122137404581,54,5586,10,28,375,85,50,18,43,39,0.008587786259541985,0.0015903307888040711,0.004452926208651399,0.059637404580152674,0.013517811704834605,0.007951653944020356,0.0028625954198473282,0.006838422391857507,0.006202290076335878
128021534,2309,0.2283199841787798,114,7804,308,251,419,160,226,97,635,99,0.011272619400771285,0.03045584890734698,0.02481953920696134,0.0414318204291506,0.01582122021160882,0.02234747354889746,0.009591614753287847,0.06279046771482251,0.009789380005932958
128021535,3629,0.17823289622317176,287,16732,291,362,1007,297,299,154,645,287,0.014095574873532734,0.014292028878738766,0.01777908747114582,0.04945729581061834,0.014586709886547812,0.014684936889150827,0.007563479200432199,0.03167820833947252,0.014095574873532734
128021536,3802,0.18592596214973836,237,16647,136,527,1424,325,303,148,550,152,0.011589808792605995,0.00665069196537728,0.02577143136583696,0.06963665704924446,0.01589319771137953,0.014817350481686146,0.007237517727028217,0.02689618074233459,0.007433126314245195
128021537,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128021538,4539,0.229474216380182,304,15241,197,597,1191,473,521,391,656,209,0.015369059656218402,0.009959555106167845,0.03018200202224469,0.06021233569261881,0.02391304347826087,0.02633973710819009,0.019767441860465116,0.03316481294236603,0.010566228513650152
128021607,2136,0.1295094888740678,140,14357,65,106,1029,251,173,75,194,103,0.00848844964530407,0.003941065906748318,0.006426969017158795,0.0623901048929849,0.015218577578366579,0.0104892984902686,0.004547383738555751,0.011762565937064208,0.006245073667616565
128021608,805,0.1148031945236737,69,6207,16,48,388,90,42,27,87,38,0.009840273816314889,0.0022818026240730175,0.0068454078722190535,0.05533371363377068,0.012835139760410725,0.005989731888191671,0.0038505419281232175,0.012407301768397034,0.005419281232173417
128021609,487,0.13702870005627463,20,3067,14,15,269,59,41,14,30,25,0.005627462014631401,0.0039392234102419805,0.004220596510973551,0.07568936409679235,0.016601012943162633,0.011536297129994372,0.0039392234102419805,0.008441193021947102,0.007034327518289252
197979799,118,0.33714285714285713,3,232,0,28,27,18,16,3,23,0,0.008571428571428572,0,0.08,0.07714285714285714,0.05142857142857143,0.045714285714285714,0.008571428571428572,0.06571428571428571,0
199999499,2974,0.29734053189362125,225,7028,192,389,886,411,312,236,213,110,0.022495500899820036,0.01919616076784643,0.03889222155568886,0.08858228354329134,0.04109178164367126,0.03119376124775045,0.023595280943811237,0.021295740851829635,0.010997800439912017
201011001,1452,0.1305051231349991,41,9674,52,159,366,125,167,331,90,121,0.0036850620168973574,0.004673737192162502,0.014290850260650727,0.032895919467912996,0.011234945173467554,0.015009886751752652,0.02975013481934208,0.008089160524896638,0.010875426927916591
201011002,1349,0.12029605849830569,72,9865,29,150,483,148,112,201,101,53,0.006420545746388443,0.002586053147850901,0.01337613697164259,0.04307116104868914,0.013197788478687356,0.009987515605493134,0.01792402354200107,0.009006598894239343,0.004726235063313715
201011003,1914,0.08855781242770555,129,19699,35,98,832,166,180,191,200,83,0.005968629991208995,0.001619395734048952,0.004534308055337066,0.0384953500208208,0.007680562624346458,0.008328320917966038,0.008837273862952853,0.009253689908851155,0.003840281312173229
201011004,2345,0.10516638263521393,84,19953,101,271,880,214,214,318,168,95,0.0037671540048434837,0.004529554220109427,0.012153556372768859,0.039465422907884115,0.009597273298053637,0.009597273298053637,0.01426136873262176,0.007534308009686967,0.0042604717911920355
201011005,721,0.10934182590233546,21,5873,18,99,384,58,33,34,49,25,0.0031847133757961785,0.00272975432211101,0.015013648771610554,0.05823475887170155,0.008795875037913254,0.005004549590536852,0.005156202608431908,0.0074309978768577496,0.0037913254473764028
201011006,491,0.07387902497743003,12,6155,30,36,199,67,47,32,42,26,0.0018055973517905506,0.0045139933794763765,0.005416792055371652,0.02994282275052663,0.010081251880830575,0.007071922961179657,0.004814926271441469,0.006319590731266927,0.003912127595546194
201011007,285,0.07750883872722328,3,3392,0,3,172,39,13,7,37,11,8.158825129181398e-4,0,8.158825129181398e-4,0.04677726407397335,0.010606472667935817,0.0035354908893119393,0.0019037258634756595,0.010062550992657057,0.002991569214033179
201011008,1087,0.08101058279922492,35,12331,17,106,443,97,182,77,66,64,0.0026084364286778953,0.0012669548367864063,0.007899836041138768,0.033015352511551646,0.007229095245193024,0.013563869429125056,0.00573856014309137,0.00491876583693546,0.004769712326725294
201021009,690,0.12987012987012986,27,4623,0,11,416,65,23,13,119,16,0.005081874647092038,0,0.002070393374741201,0.07829851308112178,0.012234142668925278,0.004329004329004329,0.0024468285337850555,0.022397891963109356,0.0030114812723508375
201021010,730,0.10503597122302158,34,6220,11,3,431,82,33,25,86,25,0.004892086330935252,0.0015827338129496403,4.316546762589928e-4,0.062014388489208636,0.011798561151079136,0.004748201438848921,0.0035971223021582736,0.01237410071942446,0.0035971223021582736
201021011,1339,0.1669576059850374,92,6681,9,34,704,138,79,52,190,41,0.011471321695760598,0.0011221945137157108,0.004239401496259352,0.08778054862842893,0.0172069825436409,0.009850374064837904,0.006483790523690773,0.02369077306733167,0.005112219451371571
201021012,558,0.10915492957746478,13,4554,0,3,332,81,24,8,82,15,0.002543035993740219,0,5.868544600938967e-4,0.0649452269170579,0.01584507042253521,0.004694835680751174,0.001564945226917058,0.016040688575899843,0.0029342723004694834
201031013,285,0.09664292980671414,9,2664,3,3,182,40,10,3,32,3,0.003051881993896236,0.001017293997965412,0.001017293997965412,0.06171583587656833,0.01356391997287216,0.00339097999321804,0.001017293997965412,0.010851135978297729,0.001017293997965412
201031014,405,0.10180995475113122,20,3573,13,9,234,34,38,9,41,7,0.005027652086475616,0.0032679738562091504,0.0022624434389140274,0.058823529411764705,0.008547008547008548,0.009552538964303671,0.0022624434389140274,0.010306686777275012,0.0017596782302664656
201031015,393,0.09571358986848515,14,3713,0,4,267,39,35,3,20,11,0.0034096444227959084,0,9.74184120798831e-4,0.06502679006332197,0.009498295177788602,0.008524111056989771,7.306380905991232e-4,0.004870920603994155,0.002679006332196785
201031016,628,0.08728283530229326,28,6567,0,20,356,67,43,51,56,7,0.003891591382904795,0,0.002779708130646282,0.049478804725503825,0.009312022237665045,0.005976372480889507,0.00708825573314802,0.00778318276580959,9.728978457261987e-4
201031017,517,0.1094411515664691,8,4207,3,3,367,52,44,0,36,4,0.001693480101608806,6.350550381033022e-4,6.350550381033022e-4,0.07768839966130398,0.01100762066045724,0.009314140558848433,0,0.007620660457239628,8.46740050804403e-4
202011018,1403,0.10660284172935187,64,11758,32,69,417,121,351,233,66,50,0.004862852366841425,0.0024314261834207126,0.005242762708000912,0.03168452245270116,0.00919383025605957,0.026669705949395942,0.017703821898032063,0.00501481650330522,0.0037991034115948635
202011019,617,0.05750768943983596,17,10112,7,18,269,81,150,38,15,22,0.0015844906328641999,6.524373194146706e-4,0.0016776959642091527,0.02507223413179234,0.007549631838941188,0.01398079970174294,0.0035418025911082116,0.001398079970174294,0.0020505172895889643
202011020,1258,0.09913317572892041,46,11432,64,130,371,116,185,215,70,61,0.003624901497241923,0.00504334121355398,0.01024428684003152,0.029235618597320726,0.009141055949566587,0.014578408195429472,0.0169424743892829,0.005516154452324665,0.004806934594168637
202011021,860,0.09831942380244656,35,7887,27,64,249,93,164,131,46,51,0.004001371898936778,0.003086772607751229,0.007316794329484394,0.028466902938150223,0.010632216760032011,0.01874928546930376,0.01497656339316337,0.005258945924316909,0.0058305704813078766
202011022,1635,0.09007271925958572,39,16517,48,90,507,147,433,212,107,52,0.002148523578669017,0.002644336712208021,0.00495813133539004,0.027930806522697225,0.008098281181137064,0.02385412075804319,0.011679153812252093,0.005894667254297047,0.0028646981048920227
